,desc,mana,name,price,rarity,type,url
2806,T Add 1 to your mana pool. If you control an Urza's Power-Plant and an Urza's Tower add 2 to your mana pool instead.,,Urza's Mine - Foil,,U,Land - Urza's Mine,./Paginas/PaginasHeuristica/www.capefeargames.com773.html
2807, Rimrock Knight can’t block. ,"['1', 'R']",           Rimrock Knight              ,$0.06,Common,Creature—DwarfKnight,./Paginas/PaginasHeuristica/scryfall.com495.html
2808,"For each attacking creature, its owner puts it on the top or bottom of his or her library.
For each attacking creature, its owner puts it on the top or bottom of their library.",3 u u,Aetherspouts,$0.59,Rare,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com497.html
2809,"Flying vigilance haste



Whenever Aurelia the Warleader attacks for the first time each turn untap all creatures you control. After this phase there is an additional combat phase.",2RRWW,"Aurelia, the Warleader - Foil",,M,,./Paginas/PaginasHeuristica/www.capefeargames.com323.html
2810,"Counter target spell.
Counter target spell.",1 u u,Cancel,$0.15,Common,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com478.html
2811,Whenever a player casts an instant or sorcery spell each other player copies that spell. Each of those players may choose new targets for his or her copy.,5U,Hive Mind - Foil,,R,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com636.html
2812,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.
When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",2 u u,Archaeomancer,$2.99,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com182.html
2813,"  1: Untap up to one target creature and up to one target land. −2: Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard. −8: You get an emblem with “Whenever a creature enters the battlefield under your control, you may have it fight target creature.” Then create three 8/8 blue Octopus creature tokens. ","['2', 'G', 'U']","           Kiora, Master of the Depths              ",✶ $7.68,MythicRare,LegendaryPlaneswalker—Kiora,./Paginas/PaginasHeuristica/scryfall.com180.html
2814,At the beginning of your upkeep put target creature card from a graveyard onto the battlefield under your control.,4(W/B)(W/B)(W/B),Debtors' Knell,$4.27,R,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com266.html
2815,"Fireball does X damage total, divided evenly (round down) among any number of targets. Pay 1 extra mana for each target beyond the first.
--This card has no flavor text --","['x', 'r']", Fireball ,$47.25,Common,Sorcery,./Paginas/PaginasHeuristica/abugames.com600.html
2816,"Flying
When Rapacious Dragon enters the battlefield, create two Treasure tokens. (They're artifacts with "", Sacrifice this artifact: Add one mana of any color."")",4r,Core Set 2020 Foil: Rapacious Dragon,$0.35,U,Creature - Dragon,./Paginas/PaginasHeuristica/www.cardkingdom.com120.html
2817, Target blocking creature gets  7/ 7 until end of turn.   Sometimes the greatest strength is the strength of conviction. ,['W'],           Righteousness              ,$0.08,Uncommon,Instant,./Paginas/PaginasHeuristica/scryfall.com929.html
2818,Take an extra turn after this one.,1Blue,Time Walk,$1.40,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com781.html
2819,"As Alpine Moon enters the battlefield, choose a nonbasic land card name.
As Alpine Moon enters the battlefield, choose a nonbasic land card name.",r,Alpine Moon,$2.49,Rare,Enchantment,./Paginas/PaginasHeuristica/www.starcitygames.com881.html
2820,"Flying
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Other creatures you control have exalted. (If a creature has multiple instances of exalted, each triggers separately.)",2ww,2013 Core Set: Sublime Archangel,$1.79,M,Creature - Angel,./Paginas/PaginasHeuristica/www.cardkingdom.com570.html
2821,"Tap: Target creature an opponent controls attacks you this turn if able.
Tap: Target creature an opponent controls attacks you this turn if able.",1 u,Alluring Siren,$0.49,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com57.html
2822,"Each player draws three cards, then discards three cards at random.
Each player draws three cards, then discards three cards at random.",r,Burning Inquiry,$1.99,Common,Sorcery,./Paginas/PaginasHeuristica/www.starcitygames.com301.html
2823,Choose two-â¢ Your opponents can't gain life this turn.â¢ Atarka's Command deals 3 damage to each opponent.â¢ You may put a land card from your hand onto the battlefield.â¢ Creatures you control get +1/+1 and gain reach until end of turn.,RedGreen,Atarka's Command,$0.30,,Instant,./Paginas/PaginasHeuristica/www.mtgotraders.com851.html
2824," Target opponent reveals their hand. You may choose a nonland card from it. If you do, that player exiles that card. If a nonblack card is exiled this way, exile a card from your hand.   “Imagine having your skeleton extracted through your ear, one bone at a time.” —Corliss the Wanderer ",['B'],           Specter's Shriek              ,$0.11,Uncommon,Sorcery,./Paginas/PaginasHeuristica/scryfall.com303.html
2825,"Copper Tablet does 1 damage to each player during his or her upkeep.
--This card has no flavor text --",['2'], Copper Tablet ,$229.99,Uncommon,Artifact,./Paginas/PaginasHeuristica/abugames.com179.html
2826,Choose any number of target creature and/or planeswalker cards in graveyards. Command the Dreadhorde deals damage to you equal to the total converted mana cost of those cards. Put them onto the battlefield under your control.,4BlackBlack,Command the Dreadhorde,$0.02,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com502.html
2827,": Target creature Firebreathing enchants gets +1/+0 until end of turn.
""And topples round the dreary west
A looming bastion fringed with fire.""
—Alfred, Lord Tennyson, ""In Memoriam""",['r'], Firebreathing ,$2.15,Common,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com483.html
2828," When Urza's Incubator comes into play, choose a creature type. Creature spells of the chosen type cost {2} less to play.", ,Urza's Incubator - Urza's Destiny Magic the Gathering Single,$14.95, Rare, Artifact,./Paginas/PaginasHeuristica/www.wizardscupboard.com469.html
2829,"Breaking

Sorcery

Target player puts the top eight cards of his or her library into his or her graveyard.

-----Split-----

Entering

Sorcery

Put a creature card from a graveyard onto the battlefield under your control. It gains haste until end of turn.

-----Fuse-----

Fuse (You may cast one or both halves of this card from your hand.)
--This card has no flavor text --","['u', 'b', '4', 'b', 'r']", Breaking and Entering (Release) - FOIL ,$2.39,Rare,Sorcery,./Paginas/PaginasHeuristica/abugames.com529.html
2830,"1Red: Creatures you control get +1/+0 and gain haste until end of turn.When Cavalier of Flame enters the battlefield, discard any number of cards, then draw that many cards.When Cavalier of Flame dies, it deals X damage to each opponent and each planeswalker they control, where X is the number of land cards in your graveyard.",2RedRedRed,Cavalier of Flame,$6.64,,Creature - Elemental Knight,./Paginas/PaginasHeuristica/www.mtgotraders.com152.html
2831,"Flash
Other Wolves and Werewolves you control get +1/+1.
At the beginning of your end step, if you didn't cast a spell this turn, create a green Wolf creature token.",2gg,Core Set 2020 Foil: Nightpack Ambusher,$6.99,R,Creature - Wolf,./Paginas/PaginasHeuristica/www.cardkingdom.com209.html
2832,Counter target spell.,UU,Counterspell,$1.85,U,Instant,./Paginas/PaginasHeuristica/www.capefeargames.com909.html
2833,"Sacrifice an artifact: Put a +1/+1 counter on Arcbound Ravager.Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",2 Mana,Arcbound Ravager *Foil*,$3.30,,Artifact Creature - Beast,./Paginas/PaginasHeuristica/www.mtgotraders.com447.html
2834,"Flash (You may cast this spell any time you could cast an instant.)Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on Brineborn Cutthroat.",1Blue,Brineborn Cutthroat,$0.04,,Creature - Merfolk Pirate,./Paginas/PaginasHeuristica/www.mtgotraders.com91.html
2835,"Add 3 black mana to your mana pool.
--This card has no flavor text --",['b'], Dark Ritual ,$393.75,Common,Instant,./Paginas/PaginasHeuristica/abugames.com196.html
2836,"As long as it's your turn, Ahn-Crop Invader has first strike.
, Sacrifice another creature: Ahn-Crop Invader gets +2/+0 until end of turn.
""Give me a crew like this one and I'd rule any sea I sailed.""
—Angrath","['2', 'r']", Ahn-Crop Invader - FOIL ,$0.19,Common,Creature - Zombie Minotaur Warrior,./Paginas/PaginasHeuristica/abugames.com92.html
2837,"Whenever you draw a card, put a +1/+1 counter on Chasm Skulker.
Whenever you draw a card, put a +1/+1 counter on Chasm Skulker.",2 u,Chasm Skulker,$11.99,Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com244.html
2838,": Add either  or  to your mana pool.
Counts as both islands and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Volcanic Island (WB) ,$522.55,Rare,Land - Island Mountain,./Paginas/PaginasHeuristica/abugames.com895.html
2839," When Gadwick, the Wizened enters the battlefield, draw X cards. Whenever you cast a blue spell, tap target nonland permanent an opponent controls.   His name is spoken only in whispers—but he hears just the same. ","['X', 'U', 'U', 'U']","           Gadwick, the Wizened              ",$0.40,Rare,LegendaryCreature—HumanWizard,./Paginas/PaginasHeuristica/scryfall.com246.html
2840,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""
Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",1 b,Abnormal Endurance,$0.25,Common,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com614.html
2841,FlyingLands on the battlefield and land cards in graveyards can't be the targets of spells or abilities your opponents control.Your opponents can't play land cards from graveyards.,WhiteWhite,"Tomik, Distinguished Advokist",$0.06,,Legendary Creature - Human Advisor,./Paginas/PaginasHeuristica/www.mtgotraders.com914.html
2842,"Choose one 

 Boros Charm deals 4 damage to target player or planeswalker.

 Permanents you control gain indestructible until end of turn.

 Target creature gains double strike until end of turn.",RW,Boros Charm,,U,,./Paginas/PaginasHeuristica/www.capefeargames.com335.html
2843,"Target player sacrifices an attacking or blocking creature.
Target player sacrifices an attacking or blocking creature.",w w,Celestial Flare,$0.15,Common,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com481.html
2844," Flying Whenever Korvold, Fae-Cursed King enters the battlefield or attacks, sacrifice another permanent. Whenever you sacrifice a permanent, put a  1/ 1 counter on Korvold and draw a card.   Transformed at his own wedding, he promptly ate the banquet, the gifts, and the guests. ","['2', 'B', 'R', 'G']","           Korvold, Fae-Cursed King              ",$9.50,MythicRare,LegendaryCreature—DragonNoble,./Paginas/PaginasHeuristica/scryfall.com529.html
2845,First strike forestwalk vigilance (This creature deals combat damage before creatures without first strike it's unblockable as long as defending player controls a Forest and attacking doesn't cause this creature to tap.),1GG,"Mirri, Cat Warrior",$2.33,R,Legendary Creature - Cat Warrior,./Paginas/PaginasHeuristica/www.capefeargames.com765.html
2846," Flying {1}{U}, Discard two cards: Return Fae of Wishes to its owner’s hand. ","['1', 'U']",           Fae of Wishes              ,$0.89,Rare,Creature—FaerieWizard,./Paginas/PaginasHeuristica/scryfall.com483.html
2847," Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.) When Torch Slinger enters the battlefield, if it was kicked, it deals 2 damage to target creature.", ,Torch Slinger - Zendikar Magic the Gathering Single,$0.05, Common, Creature - Goblin Shaman,./Paginas/PaginasHeuristica/www.wizardscupboard.com243.html
2848,"Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate.
Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",1 w,Ajani's Pridemate,$0.25,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com878.html
2849,"Changes the color of one card either being played or already in play to green. Cost to cast, tap, maintain, or use a special ability of target card remains entirely unchanged.
--This card has no flavor text --",['g'], Lifelace ,$172.49,Rare,Instant,./Paginas/PaginasHeuristica/abugames.com303.html
2850,"TrampleWhenever another artifact comes into play, put a +1/+1 counter on Arcbound Crusher.Modular 1 (This comes into play with a +1/+1 counter on it. When it's put into a graveyard, you may put its +1/+1 counters on target artifact creature.)",4 Mana,Arcbound Crusher *Foil*,$0.01,,Artifact Creature,./Paginas/PaginasHeuristica/www.mtgotraders.com778.html
2851,"This spell costs  less to cast if you control a creature with flying.
Draw two cards.",2u,Core Set 2020: Winged Words,$0.25,C,Sorcery,./Paginas/PaginasHeuristica/www.cardkingdom.com423.html
2852,T Add 1 to your mana pool. T Add G or W to your mana pool. Brushland deals 1 damage to you.,,Brushland - Foil,$66.49,R,Land,./Paginas/PaginasHeuristica/www.capefeargames.com72.html
2853,"Whenever you cast a noncreature spell, create a 1/1 colorless Servo artifact creature token.-2: Target artifact you control becomes a copy of another target artifact or creature you control until end of turn, except it's an artifact in addition to its other types.",1Blue or RedBlue or Red,"Saheeli, Sublime Artificer",$0.05,,Legendary Planeswalker - Saheeli,./Paginas/PaginasHeuristica/www.mtgotraders.com282.html
2854," Destroy target artifact, target creature, target enchantment, and target land.", ,Decimate - Commander 2016,$1.40, Rare, Sorcery,./Paginas/PaginasHeuristica/www.wizardscupboard.com613.html
2855,(Ancient Den isn't a spell.)Tap: Add White Mana to your mana pool., ,Ancient Den,$0.05,,Artifact Land,./Paginas/PaginasHeuristica/www.mtgotraders.com328.html
2856,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Lifelink",1 b,Child of Night,$0.25,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com41.html
2857," All players play with the cards in their hands face up on the table. Whenever any player draws a card, any other player may pay 2 life to force the drawing player to discard that card. Effects that prevent or redirect damage cannot be used to counter this loss of life.", ,Zur's Weirding - Ice Age Magic the Gathering Single,$0.40, Rare, Enchantment,./Paginas/PaginasHeuristica/www.wizardscupboard.com306.html
2858,"Each player draws one extra card each turn during his or her draw phase.
--This card has no flavor text --",['2'], Howling Mine ,"$1,494.99",Rare,Artifact,./Paginas/PaginasHeuristica/abugames.com246.html
2859,"2 Mana, Tap: Add Black Mana to your mana pool for each swamp you control.", ,Cabal Coffers,$3.13,,Land,./Paginas/PaginasHeuristica/www.mtgotraders.com797.html
2860,"Flying
Flying",3 b b,Bone Dragon,$1.49,Mythic Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com897.html
2861,"Swampwalk (This creature is unblockable as long as defending player controls a Swamp.)
Knowing Takenuma Swamp to be dangerous, Hisata set wards to warn him of predators. He never imagined that his murderer would pass through them unhindered.","['3', 'b']", Bog Wraith - FOIL ,$0.75,Uncommon,Creature - Wraith,./Paginas/PaginasHeuristica/abugames.com616.html
2862," This spell costs {1} less to cast for each instant and sorcery card in your graveyard. You have no maximum hand size. At the beginning of your upkeep, put a knowledge counter on The Magic Mirror, then draw a card for each knowledge counter on The Magic Mirror. ","['6', 'U', 'U', 'U']",           The Magic Mirror              ,$2.32,MythicRare,LegendaryArtifact,./Paginas/PaginasHeuristica/scryfall.com196.html
2863,You gain X life and draw X cards.,XWUU,Sphinx's Revelation,$2.80,M,Instant,./Paginas/PaginasHeuristica/www.capefeargames.com270.html
2864,"Sliver creatures you control have haste. (They can attack and Tap as soon as they come under your control.)
Sliver creatures you control have haste. (They can attack and Tap as soon as they come under your control.)",2 r,Blur Sliver,$0.99,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com194.html
2865,VigilanceWhenever Sun Titan enters the battlefield or attacks you may return target permanent card with converted mana cost 3 or less from your graveyard to the battlefield.,4WW,Sun Titan,$4.70,M,Creature - Giant,./Paginas/PaginasHeuristica/www.capefeargames.com620.html
2866,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other Elementals you control have trample.",3g,Core Set 2020: Thicket Crasher,$0.25,C,Creature - Elemental Rhino,./Paginas/PaginasHeuristica/www.cardkingdom.com835.html
2867,"FlyingWhenever you gain life, put a +1/+1 counter on Bloodthirsty Aerialist.",1BlackBlack,Bloodthirsty Aerialist,$0.03,,Creature - Vampire Rogue,./Paginas/PaginasHeuristica/www.mtgotraders.com68.html
2868,"Unless a player has Browbeat deal 5 damage to him or her, target player draws three cards.",2 ManaRed Mana,Browbeat *Foil*,$0.38,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com144.html
2869,"Destroy all enchantments.
--This card has no flavor text --","['2', 'g']", Tranquility ,$2.15,Common,Sorcery,./Paginas/PaginasHeuristica/abugames.com495.html
2870,N/A,3Green,Broodhunter Wurm *Foil*,$0.02,,Creature - Wurm,./Paginas/PaginasHeuristica/www.mtgotraders.com514.html
2871," Gain control of target creature with converted mana cost 3 or less until end of turn. Untap that creature. It gains haste until end of turn.   “The deal was struck and the favor had been done. And so, under the cover of night, the debt was paid.” —Tales of the Fae ",['R'],           Claim the Firstborn              ,$0.13,Uncommon,Sorcery,./Paginas/PaginasHeuristica/scryfall.com315.html
2872,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,1Blue,Aether Gust *Foil*,$0.05,,Instant,./Paginas/PaginasHeuristica/www.mtgotraders.com8.html
2873,"Abrupt Decay can't be countered by spells or abilities.
This spell can't be countered.",b g,Abrupt Decay (WMC Qualifier),$24.99,Promo,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com747.html
2874,Master of Etherium's power and toughness are each equal to the number of artifacts you control.Other artifact creatures you control get +1/+1.,2 ManaBlue Mana,Master of Etherium,$0.14,,Artifact Creature - Vedalken Wizard,./Paginas/PaginasHeuristica/www.mtgotraders.com847.html
2875,Lifelink (Damage dealt by this creature also causes you to gain that much life.)If you would gain life you gain twice that much life instead.,3W,Rhox Faithmender - Foil,,R,Creature - Rhino Monk,./Paginas/PaginasHeuristica/www.capefeargames.com509.html
2876,Imprint  When Duplicant enters the battlefield you may exile target nontoken creature. As long as the exiled card is a creature card Duplicant has that card's power toughness and creature types. It's still a Shapeshifter.,6,Duplicant,$1.00/$1.25,R,Artifact Creature - Shapeshifter,./Paginas/PaginasHeuristica/www.capefeargames.com159.html
2877,"Flying, vigilance
Flying, vigilance",3 w w u,"Bruna, Light of Alabaster",$24.99,Mythic Rare,Legendary Creature,./Paginas/PaginasHeuristica/www.starcitygames.com602.html
2878,Prevent all noncombat damage that would be dealt to you and other permanents you control.-2: Exile target creature with power 4 or greater.,3White,The Wanderer,$0.01,,Legendary Planeswalker,./Paginas/PaginasHeuristica/www.mtgotraders.com902.html
2879," Target player puts the top four cards of their library into their graveyard. (Then exile this card. You may cast the creature later from exile.)   Merfolk curiosity usually has dire consequences, but rarely for the merfolk. ",['U'],           Merfolk Secretkeeper              ,$0.05,Common,Creature—MerfolkWizard,./Paginas/PaginasHeuristica/scryfall.com250.html
2880,"  1: Untap up to one target creature and up to one target land. −2: Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard. −8: You get an emblem with “Whenever a creature enters the battlefield under your control, you may have it fight target creature.” Then create three 8/8 blue Octopus creature tokens. ","['2', 'G', 'U']","           Kiora, Master of the Depths              ",✶ $7.68,MythicRare,LegendaryPlaneswalker—Kiora,./Paginas/PaginasHeuristica/scryfall.com45.html
2881,": Add either  or  to your mana pool.
Counts as both islands and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Volcanic Island (WB) ,$716.75,Rare,Land - Island Mountain,./Paginas/PaginasHeuristica/abugames.com883.html
2882,"Target player gains 2 life for each creature on the battlefield.
Target player gains 2 life for each creature on the battlefield.",3 w,Congregate,$0.49,Uncommon,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com252.html
2883,"Counts as both plains and swamp and is affected by spells that affect either. Tap to add either  or  to your mana pool.
--This card has no flavor text --",[], Scrubland ,$574.99,Rare,Land - Plains Swamp,./Paginas/PaginasHeuristica/abugames.com929.html
2884,"When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
--This card has no flavor text --","['2', 'w']", Acclaimed Contender - FOIL ,$2.09,Rare,Creature - Human Knight,./Paginas/PaginasHeuristica/abugames.com84.html
2885,"Copper Tablet does 1 damage to each player during his or her upkeep.
--This card has no flavor text --",['2'], Copper Tablet ,$146.99,Uncommon,Artifact,./Paginas/PaginasHeuristica/abugames.com180.html
2886,,1RedRed,"Sarkhan, Fireblood",$0.37,,Legendary Planeswalker - Sarkhan,./Paginas/PaginasHeuristica/www.mtgotraders.com451.html
2887,Exile target creature or planeswalker that's black or red. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),1White,Devout Decree,$0.04,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com87.html
2888,All creatures able to block Breaker of Armies do so.,8,Breaker of Armies *Foil*,$0.44,,Creature - Eldrazi,./Paginas/PaginasHeuristica/www.mtgotraders.com685.html
2889,"Flying
Flying",2 w,Blessed Spirits,$0.25,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com985.html
2890," {B}, {T}, Discard a card from your hand: Add {B}{B}{B} to your mana pool.", ,Bog Witch - Mercadian Masques Magic the Gathering Single,$0.25, Common, Creature - Spellshaper,./Paginas/PaginasHeuristica/www.wizardscupboard.com644.html
2891,": Add either  or  to your mana pool.
Counts as both swamp and forest and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Bayou (WB) ,$366.79,Rare,Land - Swamp Forest,./Paginas/PaginasHeuristica/abugames.com704.html
2892,T: Destroy target creature of your choice then destroy target creature of an opponent's choice. Activate this ability only during your turn before attackers are declared.,3R,"Diaochan, Artful Beauty",,R,Legendary Creature - Human Advisor,./Paginas/PaginasHeuristica/www.capefeargames.com25.html
2893," Search your library for a creature card and reveal that card. Shuffle your library, then put the card on top of it.", ,Worldly Tutor - 6th Edition Magic the Gathering Single,$14.95, Uncommon, Instant,./Paginas/PaginasHeuristica/www.wizardscupboard.com214.html
2894,"Tap to add 1 colorless mana to your mana pool or place Strip Mine in your graveyard and destroy one land of your choice.
Unlike previous conflicts, the war between Urza and Mishra made Dominia itself a casualty of war.",[], Strip Mine (a Even) ,$139.99,Uncommon,Land,./Paginas/PaginasHeuristica/abugames.com354.html
2895,T Add 1 to your mana pool. T Add W or U to your mana pool. Adarkar Wastes deals 1 damage to you.,,Adarkar Wastes,$6.71,R,Land,./Paginas/PaginasHeuristica/www.capefeargames.com732.html
2896,Target player takes two extra turns after this one.,8UU,Time Stretch - Foil,,R,Sorcery,./Paginas/PaginasHeuristica/www.capefeargames.com698.html
2897,Flying You can't lose the game and your opponents can't win the game.,7,Platinum Angel,$6.09,M,Artifact Creature - Angel,./Paginas/PaginasHeuristica/www.capefeargames.com677.html
2898," Rats you control have menace. {1}{B}, {T}: Create a 1/1 black Rat creature token. {2}{B}{B}, {T}, Sacrifice three Rats: Gain control of target creature.   “If it has ears, it will dance to my tune.” ","['1', 'B']",           Piper of the Swarm              ,$0.24,Rare,Creature—HumanWarlock,./Paginas/PaginasHeuristica/scryfall.com591.html
2899,"Crimson Muckwader gets +1/+1 as long as you control a Swamp.
Crimson Muckwader gets +1/+1 as long as you control a Swamp.",1 r,Crimson Muckwader,$0.25,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com439.html
2900, {T}: Sacrifice a black or artifact creature to add an amount of {B} equal to that creature's casting cost to your mana pool. Play this ability as an interrupt., ,Soldevi Adnate - Allainces Magic the Gathering Single,$0.25, Common, Creature - Cleric,./Paginas/PaginasHeuristica/www.wizardscupboard.com1000.html
2901,FlyingB Pay 2 life: Target creature gets -1/-1 until end of turn.Whenever you lose life draw that many cards. (Damage causes loss of life),5BBB,"Vilis, Broker of Blood - Foil",,R,Legendary Creature - Demon,./Paginas/PaginasHeuristica/www.capefeargames.com227.html
2902,"Add R to your mana pool for each creature you control.
Add R for each creature you control.",1 r,Battle Hymn,$6.99,Common,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com593.html
2903,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and  this turn.),2r,Core Set 2020 Foil: Act of Treason,$0.25,C,Sorcery,./Paginas/PaginasHeuristica/www.cardkingdom.com16.html
2904," When Anathemancer comes into play, it deals damage to target player equal to the number of nonbasic lands that player controls. Unearth {5}{B}{R} ({5}{B}{R}: Return this card from your graveyard to play. It gains haste. Remove it from the game at end of turn or if it would leave play. Unearth only as a sorcery.)", ,Anathemancer - Alara Reborn Magic the Gathering Single,$0.50, Uncommon, Creature - Zombie Wizard,./Paginas/PaginasHeuristica/www.wizardscupboard.com701.html
2905,"Whenever a creature you control dies, you gain 1 life and draw a card.",3bg,Core Set 2020 Foil: Moldervine Reclamation,$1.49,U,Enchantment,./Paginas/PaginasHeuristica/www.cardkingdom.com161.html
2906,"Relentless Rats gets +1/+1 for each other creature in play named Relentless Rats.
A deck can have any number of cards named Relentless Rats.
--This card has no flavor text --","['1', 'b', 'b']", Relentless Rats ,$3.19,Uncommon,Creature - Rat,./Paginas/PaginasHeuristica/abugames.com641.html
2907, Return all land cards from your graveyard to the battlefield tapped., ,Splendid Reclamation - Eldritch Moon,$3.25, Rare, Sorcery,./Paginas/PaginasHeuristica/www.wizardscupboard.com351.html
2908,"1G: Put a 1/1 green Insect creature token onto the battlefield.
1G: Create a 1/1 green Insect creature token.",3 g g,Ant Queen,$2.49,Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com16.html
2909,": Lose only 1 life to an unblocked creature.
--This card has no flavor text --",['3'], Forcefield ,"$1,499.99",Rare,Artifact,./Paginas/PaginasHeuristica/abugames.com211.html
2910,"Tap: Add 1 to your mana pool.5Blue, Tap, Sacrifice Blighted Cataract: Draw two cards.", ,Blighted Cataract *Foil*,$0.65,,Land,./Paginas/PaginasHeuristica/www.mtgotraders.com390.html
2911,"First strike (This creature deals combat damage before creatures without first strike.)
First strike (This creature deals combat damage before creatures without first strike.)",2 r,Akroan Sergeant,$0.25,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com710.html
2912,"Flying, hexproofSpells and abilities your opponents control can't cause you to sacrifice permanents.",2GreenWhiteWhite,"Sigarda, Host of Herons",$1.35,,Legendary Creature - Angel,./Paginas/PaginasHeuristica/www.mtgotraders.com810.html
2913,"Add 1 green mana to your mana pool. Tapping this artifact can be played as an interrupt.
--This card has no flavor text --",[], Mox Emerald ,"$6,874.99",Rare,Artifact,./Paginas/PaginasHeuristica/abugames.com991.html
2914,"White spells cost 3 more mana to cast. Circles of Protection cost 3 more mana to use.
--This card has no flavor text --","['2', 'b']", Gloom ,$281.25,Uncommon,Enchantment,./Paginas/PaginasHeuristica/abugames.com138.html
2915,"3GreenWhite: Monstrosity 1. (If this creature isn't monstrous, put a +1/+1 counter on it and it becomes monstrous.)As long as Fleecemane Lion is monstrous, it has hexproof and indestructible.",GreenWhite,Fleecemane Lion,$0.01,,Creature - Cat,./Paginas/PaginasHeuristica/www.mtgotraders.com543.html
2916,"All creatures attack each turn if able.
All creatures block each turn if able.
Hot blood washes away cold reason.","['3', 'r']", Grand Melee ,$3.39,Rare,Enchantment,./Paginas/PaginasHeuristica/abugames.com568.html
2917,"Enchant creatureWhen Angelic Gift enters the battlefield, draw a card.Enchanted creature has flying.",1White,Angelic Gift,$0.01,,Enchantment - Aura,./Paginas/PaginasHeuristica/www.mtgotraders.com113.html
2918," Each creature card in you graveyard has scavenge. The scavenge cost is equal to its mana cost. Sacrifice another creature: Regenerate Valroz, the Scar-Striped.", ,"Varolz, the Scar-Striped - Dragon's Maze Magic the Gathering Single",$0.35, Rare, Legendary Creature,./Paginas/PaginasHeuristica/www.wizardscupboard.com46.html
2919,": +1/+0
""And topples round the dreary west
A looming bastion fringed with fire.""
—Alfred, Lord Tennyson, ""In Memoriam""",['r'], Firebreathing ,$24.99,Common,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com587.html
2920,"Landfall- Whenever a land enters the battlefield under your control, Belligerent Whiptail gains first strike until end of turn.",3Red,Belligerent Whiptail *Foil*,$0.01,,Creature - Wurm,./Paginas/PaginasHeuristica/www.mtgotraders.com406.html
2921,Fire Diamond comes into play tapped. T Add R to your mana pool.,2,Fire Diamond,,U,Artifact,./Paginas/PaginasHeuristica/www.capefeargames.com948.html
